node_id,node_type,label,degree,components_before_removal,components_after_removal,components_added
video:n8iP75gIpmw,video,Qué rico come tu diputado,128,10,136,126
video:j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,49,10,57,47
video:6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,32,10,41,31
video:lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,25,10,34,24
video:PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,19,10,28,18
video:OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,18,10,27,17
video:yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,16,10,24,14
video:06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,13,10,22,12
video:ndAZjHqzzT8,video,Internet: escoger el menos malo,10,10,18,8
video:is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,10,16,6
video:b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,10,16,6
video:WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,6,10,15,5
video:TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,10,13,3
video:JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,3,10,12,2
author:UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,3,10,11,1
author:UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,2,10,11,1
author:UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,2,10,11,1
author:UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,2,10,11,1
author:UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,2,10,11,1
author:UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,3,10,11,1
video:3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,10,11,1
author:UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,2,10,11,1
