node_id_1,node_id_2,author_channel_id_1,author_channel_id_2,weight
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UC-Iul5tDYH_oiAMXQH-KaaQ,UC-HeUTT6_g-VoiWds2a4H-w,UC-Iul5tDYH_oiAMXQH-KaaQ,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UC0HvfEWozTHbwl_iEmJNvVA,UC-HeUTT6_g-VoiWds2a4H-w,UC0HvfEWozTHbwl_iEmJNvVA,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UC14qlobYKqD-DO0j6b75lcA,UC-HeUTT6_g-VoiWds2a4H-w,UC14qlobYKqD-DO0j6b75lcA,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UC1NiEdJ7gk6FlDexIalWnGg,UC-HeUTT6_g-VoiWds2a4H-w,UC1NiEdJ7gk6FlDexIalWnGg,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UC3YpzAr7pcdKC7BVFEpYzog,UC-HeUTT6_g-VoiWds2a4H-w,UC3YpzAr7pcdKC7BVFEpYzog,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UC63tFvbQ_hJhGDi2nbjssjw,UC-HeUTT6_g-VoiWds2a4H-w,UC63tFvbQ_hJhGDi2nbjssjw,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UCEHXl4VvvVpq-_4xC5tsbhg,UC-HeUTT6_g-VoiWds2a4H-w,UCEHXl4VvvVpq-_4xC5tsbhg,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UCFybmWapGvBKcQod7cPPH9w,UC-HeUTT6_g-VoiWds2a4H-w,UCFybmWapGvBKcQod7cPPH9w,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UCRfkkatKrNtAARnXMMYBGlA,UC-HeUTT6_g-VoiWds2a4H-w,UCRfkkatKrNtAARnXMMYBGlA,1
author:UC-HeUTT6_g-VoiWds2a4H-w,author:UCV3fr-YOixFKCZBbJP1-X4w,UC-HeUTT6_g-VoiWds2a4H-w,UCV3fr-YOixFKCZBbJP1-X4w,1
