rank,item,frequency
1,presidente bernardo,9
2,bernardo arevalo,8
3,ciudad guatemala,6
4,dar él,5
5,nery roda,5
6,pueblo pagar,5
7,bla bla,5
8,pagar sueldo,5
9,pacto corrupto,5
10,buscar trabajo,4
11,morir él,4
12,gastar dinero,4
13,pagar dinero,4
14,dinero pueblo,4
15,guatemala saludo,4
16,pagar comida,4
17,morir hambre,4
18,hand purple,3
19,purple blue,3
20,blue peace,3
21,vivo guatemala,3
22,diputado alcanzar,3
23,él hambre,3
24,excelente trabajo,3
25,diputado nery,3
26,pagar almuerzo,3
27,apoyo presidente,3
28,ley competencia,3
29,libre mercado,3
30,comunidad internacional,3
