author_node_id,video_node_id,author_channel_id,video_id,weight_comments
author:UC2ngpd8UBQu4gcUYy0goAtg,video:06mFNPU0aB8,UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,1
author:UCAxvOOHQk7dYPOajzFEVtbA,video:06mFNPU0aB8,UCAxvOOHQk7dYPOajzFEVtbA,06mFNPU0aB8,2
author:UCIXLDYqR_syskKRJy_x9W9Q,video:06mFNPU0aB8,UCIXLDYqR_syskKRJy_x9W9Q,06mFNPU0aB8,1
author:UCLXYp1Cvc5DLtq5UQL5D9vw,video:06mFNPU0aB8,UCLXYp1Cvc5DLtq5UQL5D9vw,06mFNPU0aB8,1
author:UCO0zwwLWGyDgQmWPJ5Qrr1w,video:06mFNPU0aB8,UCO0zwwLWGyDgQmWPJ5Qrr1w,06mFNPU0aB8,1
author:UCXN2s7DwTJm33xO-pNkAdaA,video:06mFNPU0aB8,UCXN2s7DwTJm33xO-pNkAdaA,06mFNPU0aB8,1
author:UC_3xuTXvMIWU5MYP9HkJ3vQ,video:06mFNPU0aB8,UC_3xuTXvMIWU5MYP9HkJ3vQ,06mFNPU0aB8,1
author:UCfXykdbSU97rj987LDUGfvg,video:06mFNPU0aB8,UCfXykdbSU97rj987LDUGfvg,06mFNPU0aB8,1
author:UCfjhejO7LZy4doXURa7LZCQ,video:06mFNPU0aB8,UCfjhejO7LZy4doXURa7LZCQ,06mFNPU0aB8,1
author:UCjZgFEowMBrsjodqfovzdKw,video:06mFNPU0aB8,UCjZgFEowMBrsjodqfovzdKw,06mFNPU0aB8,1
author:UCq3mDTTRZnUybct5M9OSXbg,video:06mFNPU0aB8,UCq3mDTTRZnUybct5M9OSXbg,06mFNPU0aB8,1
author:UCvl1tzQeBeGy6efPTRJXSCw,video:06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,06mFNPU0aB8,1
author:UCwCfs-2zbD5k0lG-UVg_JBw,video:06mFNPU0aB8,UCwCfs-2zbD5k0lG-UVg_JBw,06mFNPU0aB8,1
author:UCJxJC56BSAX-ArD0NAb9qnQ,video:3Nfp9h5avBI,UCJxJC56BSAX-ArD0NAb9qnQ,3Nfp9h5avBI,1
author:UCyor0Mmm0ivLX2jIdyGp84Q,video:3Nfp9h5avBI,UCyor0Mmm0ivLX2jIdyGp84Q,3Nfp9h5avBI,1
author:UC-HeUTT6_g-VoiWds2a4H-w,video:6W4u8sGEnGM,UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,1
author:UC-Iul5tDYH_oiAMXQH-KaaQ,video:6W4u8sGEnGM,UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,1
author:UC0HvfEWozTHbwl_iEmJNvVA,video:6W4u8sGEnGM,UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,1
author:UC14qlobYKqD-DO0j6b75lcA,video:6W4u8sGEnGM,UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,1
author:UC1NiEdJ7gk6FlDexIalWnGg,video:6W4u8sGEnGM,UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,1
author:UC3YpzAr7pcdKC7BVFEpYzog,video:6W4u8sGEnGM,UC3YpzAr7pcdKC7BVFEpYzog,6W4u8sGEnGM,1
author:UC63tFvbQ_hJhGDi2nbjssjw,video:6W4u8sGEnGM,UC63tFvbQ_hJhGDi2nbjssjw,6W4u8sGEnGM,1
author:UCEHXl4VvvVpq-_4xC5tsbhg,video:6W4u8sGEnGM,UCEHXl4VvvVpq-_4xC5tsbhg,6W4u8sGEnGM,1
author:UCFybmWapGvBKcQod7cPPH9w,video:6W4u8sGEnGM,UCFybmWapGvBKcQod7cPPH9w,6W4u8sGEnGM,1
author:UCRfkkatKrNtAARnXMMYBGlA,video:6W4u8sGEnGM,UCRfkkatKrNtAARnXMMYBGlA,6W4u8sGEnGM,1
author:UCV3fr-YOixFKCZBbJP1-X4w,video:6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,6W4u8sGEnGM,5
author:UCWaRixDdpgllTBf4V0jPnKQ,video:6W4u8sGEnGM,UCWaRixDdpgllTBf4V0jPnKQ,6W4u8sGEnGM,2
author:UCWvntqPQx99k_Z_skWKqNSA,video:6W4u8sGEnGM,UCWvntqPQx99k_Z_skWKqNSA,6W4u8sGEnGM,1
author:UCZFQwqh90apuL8eFhvRBkUg,video:6W4u8sGEnGM,UCZFQwqh90apuL8eFhvRBkUg,6W4u8sGEnGM,1
author:UCa36MjQLoPAmgJo-R3G8WQA,video:6W4u8sGEnGM,UCa36MjQLoPAmgJo-R3G8WQA,6W4u8sGEnGM,1
author:UCaT4saRcyqCLE657Rq2hhZQ,video:6W4u8sGEnGM,UCaT4saRcyqCLE657Rq2hhZQ,6W4u8sGEnGM,1
author:UCeQk-WfEA-cJRq4EKeE7TOw,video:6W4u8sGEnGM,UCeQk-WfEA-cJRq4EKeE7TOw,6W4u8sGEnGM,1
author:UCfo_yUPzy1f1POwwZxhZ06Q,video:6W4u8sGEnGM,UCfo_yUPzy1f1POwwZxhZ06Q,6W4u8sGEnGM,1
author:UCgGqw4aqMdMVSGkKiMgrJRQ,video:6W4u8sGEnGM,UCgGqw4aqMdMVSGkKiMgrJRQ,6W4u8sGEnGM,1
author:UCheEJ5GZuIvV0fj-nXyVwXw,video:6W4u8sGEnGM,UCheEJ5GZuIvV0fj-nXyVwXw,6W4u8sGEnGM,1
author:UChyps3dqY-VY1_wLeq-2lhw,video:6W4u8sGEnGM,UChyps3dqY-VY1_wLeq-2lhw,6W4u8sGEnGM,1
author:UCiOZX__1gahg1ypIj0_XG_w,video:6W4u8sGEnGM,UCiOZX__1gahg1ypIj0_XG_w,6W4u8sGEnGM,1
author:UCjZgFEowMBrsjodqfovzdKw,video:6W4u8sGEnGM,UCjZgFEowMBrsjodqfovzdKw,6W4u8sGEnGM,1
author:UCoGdCoJg2Lh0OX_jv6cG16g,video:6W4u8sGEnGM,UCoGdCoJg2Lh0OX_jv6cG16g,6W4u8sGEnGM,2
author:UCp29O_C7cchZV8IxV7Crdag,video:6W4u8sGEnGM,UCp29O_C7cchZV8IxV7Crdag,6W4u8sGEnGM,2
author:UCql1n3Ey6ULMSOACjMe-fxQ,video:6W4u8sGEnGM,UCql1n3Ey6ULMSOACjMe-fxQ,6W4u8sGEnGM,1
author:UCtCtts20bW6F9CSohau51Iw,video:6W4u8sGEnGM,UCtCtts20bW6F9CSohau51Iw,6W4u8sGEnGM,2
author:UCtsxPYw8VUsH_FfnKg-0lmw,video:6W4u8sGEnGM,UCtsxPYw8VUsH_FfnKg-0lmw,6W4u8sGEnGM,1
author:UCvDwJBBY1mHK70aTEYl6rsA,video:6W4u8sGEnGM,UCvDwJBBY1mHK70aTEYl6rsA,6W4u8sGEnGM,1
author:UCwxoKK59nGCeBqB2sXfDBIw,video:6W4u8sGEnGM,UCwxoKK59nGCeBqB2sXfDBIw,6W4u8sGEnGM,1
