node_id,node_type,label,video_id,title,channel_id,channel_name,category,view_count,author_channel_id,comments,videos_distinct,degree
author:UC-HeUTT6_g-VoiWds2a4H-w,author,@JorgeMunoz-gd9et,,,,,,,UC-HeUTT6_g-VoiWds2a4H-w,1,1.0,1
author:UC-Iul5tDYH_oiAMXQH-KaaQ,author,@AlbertoMancilla-p9h,,,,,,,UC-Iul5tDYH_oiAMXQH-KaaQ,1,1.0,1
author:UC-QOpE7GOxlXcHZ8b7HbQKA,author,@mariaalexander427,,,,,,,UC-QOpE7GOxlXcHZ8b7HbQKA,2,1.0,1
author:UC-fiZBS5Gp1eCJd9ucgWnCg,author,@Tommii.10,,,,,,,UC-fiZBS5Gp1eCJd9ucgWnCg,1,1.0,1
author:UC-hfX8J5JPJ-dfuakzegMLA,author,@normaleticiaorozcojuarez2418,,,,,,,UC-hfX8J5JPJ-dfuakzegMLA,1,1.0,1
author:UC-jS_kA9w-OmpupXDx156Rg,author,@simoncreyesc7579,,,,,,,UC-jS_kA9w-OmpupXDx156Rg,1,1.0,1
author:UC-pNP6RMFuLg_-x7Ah_0kEA,author,@almacatalan2717,,,,,,,UC-pNP6RMFuLg_-x7Ah_0kEA,1,1.0,1
author:UC094EFEmMSdwVa8NQjjYBXg,author,@CelestinoQuej-j7k,,,,,,,UC094EFEmMSdwVa8NQjjYBXg,1,1.0,1
author:UC0HvfEWozTHbwl_iEmJNvVA,author,@OttoPalencia-b7r,,,,,,,UC0HvfEWozTHbwl_iEmJNvVA,1,1.0,1
author:UC0RpuMwkDKJYqgKHtsJRuWQ,author,@sabinamarinaguerra3248,,,,,,,UC0RpuMwkDKJYqgKHtsJRuWQ,1,1.0,1
author:UC0aEyakBPqcBkVJiErfSupQ,author,@jhonymanuel9891,,,,,,,UC0aEyakBPqcBkVJiErfSupQ,1,1.0,1
author:UC14qlobYKqD-DO0j6b75lcA,author,@megavision4488,,,,,,,UC14qlobYKqD-DO0j6b75lcA,1,1.0,1
author:UC1DpqK6vaPEkBOMNvypsKYg,author,@HectorCarranza-u4j4o,,,,,,,UC1DpqK6vaPEkBOMNvypsKYg,1,1.0,1
author:UC1NiEdJ7gk6FlDexIalWnGg,author,@BorisTebalán,,,,,,,UC1NiEdJ7gk6FlDexIalWnGg,1,1.0,1
author:UC1WlJfQmaIskYhP4gmWoamw,author,@marthareiss5434,,,,,,,UC1WlJfQmaIskYhP4gmWoamw,1,1.0,1
