node_id,node_type,label,degree,strength_comments,betweenness,pagerank,videos_distinct
author:UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,2,3,0.23158411788784283,0.0026535763693920572,2
author:UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,3,3,0.21807613589848548,0.003701076732141837,3
author:UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,2,2,0.17683176422431438,0.0026693424379820997,2
author:UCylqlpsh8ENNM1LqgQ1KbxA,author,@Jel.Awesh.M,2,3,0.08915268112975851,0.0026353492079626006,2
author:UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,3,4,0.059705280392959484,0.003784223719379476,3
author:UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,2,2,0.05789602947196071,0.0027135994662102654,2
author:UCbrtvygfRT6QXqWDNrOf-cA,author,@Alejandro00710,2,2,0.03229635693819075,0.002603872713899319,2
author:UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,2,2,0.03186246418338109,0.002732328923803319,2
author:UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,2,2,0.03186246418338109,0.0027339215049466134,2
author:UC-HeUTT6_g-VoiWds2a4H-w,author,@JorgeMunoz-gd9et,1,1,0.0,0.001547806323841599,1
author:UC-Iul5tDYH_oiAMXQH-KaaQ,author,@AlbertoMancilla-p9h,1,1,0.0,0.001547806323841599,1
author:UC-QOpE7GOxlXcHZ8b7HbQKA,author,@mariaalexander427,1,2,0.0,0.0016124992815849367,1
author:UC-fiZBS5Gp1eCJd9ucgWnCg,author,@Tommii.10,1,1,0.0,0.0015306593800614716,1
author:UC-hfX8J5JPJ-dfuakzegMLA,author,@normaleticiaorozcojuarez2418,1,1,0.0,0.0015320402552515566,1
author:UC-jS_kA9w-OmpupXDx156Rg,author,@simoncreyesc7579,1,1,0.0,0.0015320402552515566,1
author:UC-pNP6RMFuLg_-x7Ah_0kEA,author,@almacatalan2717,1,1,0.0,0.0015320402552515566,1
author:UC094EFEmMSdwVa8NQjjYBXg,author,@CelestinoQuej-j7k,1,1,0.0,0.0016292316770454844,1
author:UC0HvfEWozTHbwl_iEmJNvVA,author,@OttoPalencia-b7r,1,1,0.0,0.001547806323841599,1
author:UC0RpuMwkDKJYqgKHtsJRuWQ,author,@sabinamarinaguerra3248,1,1,0.0,0.0015921333404745244,1
author:UC0aEyakBPqcBkVJiErfSupQ,author,@jhonymanuel9891,1,1,0.0,0.0015921333404745244,1
author:UC14qlobYKqD-DO0j6b75lcA,author,@megavision4488,1,1,0.0,0.001547806323841599,1
author:UC1DpqK6vaPEkBOMNvypsKYg,author,@HectorCarranza-u4j4o,1,1,0.0,0.0015306593800614716,1
author:UC1NiEdJ7gk6FlDexIalWnGg,author,@BorisTebalán,1,1,0.0,0.001547806323841599,1
author:UC1WlJfQmaIskYhP4gmWoamw,author,@marthareiss5434,1,1,0.0,0.0016124992815849367,1
author:UC1Y7x3h0c95Z8kUhi-Tzaeg,author,@rosadiaz9235,1,1,0.0,0.0015488865414909278,1
author:UC1vr9aaMI2crB0NvwFHUeoQ,author,@JoseSimilox-p6e,1,1,0.0,0.0015320402552515566,1
author:UC2Y_EHWQKevubk4vOEBBFxw,author,@alfonsomorales2653,1,1,0.0,0.0015320402552515566,1
author:UC2ngpd8UBQu4gcUYy0goAtg,author,@juliohernandez7438,1,1,0.0,0.001593143569719094,1
