node_id,node_type,label,degree,strength_comments,betweenness,pagerank,comment_count,view_count
video:n8iP75gIpmw,video,Qué rico come tu diputado,128,161,0.5656979124027836,0.16641618593349683,161,11775
video:PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,19,25,0.24402783462955385,0.025078775918867934,25,3628
video:j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,49,50,0.22747441670077775,0.06362595495348225,50,10156
video:6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,32,45,0.187621776504298,0.042197150065417396,45,11670
video:ndAZjHqzzT8,video,Internet: escoger el menos malo,10,12,0.1282930822758903,0.012542479857627216,12,717
video:yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,16,16,0.0636676217765043,0.020916060056933493,16,1954
video:06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,13,14,0.05471960704052395,0.01783590781651356,14,6692
video:b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,7,0.0276545231273025,0.00990122008033114,7,5469
video:is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,7,0.0276545231273025,0.009899388256780248,7,4616
video:WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,6,6,0.023086369218174377,0.00833449853863486,6,422
video:lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,25,25,0.0049119934506754,0.03427074056221097,25,304089
video:OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,18,25,0.0025051166598444538,0.025106067062525272,25,14200
video:TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,4,9.823986901350798e-05,0.006776720063153866,4,1075
video:JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,3,3,4.911993450675399e-05,0.005467480991770194,3,673
video:3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,2,1.637331150225133e-05,0.004158241920386521,2,573
video:UhL9y3KUl8E,video,SHAI WA: la vecina queer de Casa Presidencial,1,1,0.0,0.002849002849002849,1,1755
video:X_FAIef8qlE,video,Cruzando la ciudad a puro Transmetro,1,1,0.0,0.002849002849002849,1,1140
video:s0eco-BofOs,video,¿Quiénes pagan más en Centroamérica?,1,1,0.0,0.002849002849002849,1,220
video:zweosulrwA8,video,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,1,1,0.0,0.002849002849002849,1,52
