community_id,n_videos,pct_of_total_videos,internal_edges,internal_weight_sum,avg_internal_weight,is_trivial_singleton,n_communities_total,modularity,algorithm,weight_used,resolution,seed
1,4,21.05,3,4,1.333,False,12,0.4053,louvain,weight,1.0,42
2,3,15.79,2,2,1.0,False,12,0.4053,louvain,weight,1.0,42
3,3,15.79,3,4,1.333,False,12,0.4053,louvain,weight,1.0,42
4,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
5,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
6,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
7,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
8,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
9,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
10,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
11,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
12,1,5.26,0,0,0.0,True,12,0.4053,louvain,weight,1.0,42
