network,node_id,node_type,degree,percentile_10_threshold,is_peripheral,is_isolated,is_outside_lcc
bipartite,author:UC-HeUTT6_g-VoiWds2a4H-w,author,1,1.0,True,False,False
bipartite,author:UC-Iul5tDYH_oiAMXQH-KaaQ,author,1,1.0,True,False,False
bipartite,author:UC-QOpE7GOxlXcHZ8b7HbQKA,author,1,1.0,True,False,True
bipartite,author:UC-fiZBS5Gp1eCJd9ucgWnCg,author,1,1.0,True,False,False
bipartite,author:UC-hfX8J5JPJ-dfuakzegMLA,author,1,1.0,True,False,False
bipartite,author:UC-jS_kA9w-OmpupXDx156Rg,author,1,1.0,True,False,False
bipartite,author:UC-pNP6RMFuLg_-x7Ah_0kEA,author,1,1.0,True,False,False
bipartite,author:UC094EFEmMSdwVa8NQjjYBXg,author,1,1.0,True,False,False
bipartite,author:UC0HvfEWozTHbwl_iEmJNvVA,author,1,1.0,True,False,False
bipartite,author:UC0RpuMwkDKJYqgKHtsJRuWQ,author,1,1.0,True,False,True
bipartite,author:UC0aEyakBPqcBkVJiErfSupQ,author,1,1.0,True,False,True
bipartite,author:UC14qlobYKqD-DO0j6b75lcA,author,1,1.0,True,False,False
bipartite,author:UC1DpqK6vaPEkBOMNvypsKYg,author,1,1.0,True,False,False
bipartite,author:UC1NiEdJ7gk6FlDexIalWnGg,author,1,1.0,True,False,False
bipartite,author:UC1WlJfQmaIskYhP4gmWoamw,author,1,1.0,True,False,True
bipartite,author:UC1Y7x3h0c95Z8kUhi-Tzaeg,author,1,1.0,True,False,False
bipartite,author:UC1vr9aaMI2crB0NvwFHUeoQ,author,1,1.0,True,False,False
bipartite,author:UC2Y_EHWQKevubk4vOEBBFxw,author,1,1.0,True,False,False
bipartite,author:UC2ngpd8UBQu4gcUYy0goAtg,author,1,1.0,True,False,False
bipartite,author:UC2weSE8rpqkGMOp6StYtVfg,author,1,1.0,True,False,False
bipartite,author:UC32oozucwCF3q8d4m8fyOUg,author,1,1.0,True,False,False
bipartite,author:UC3E9mAgP7VoAE5mZoAexl5g,author,1,1.0,True,False,False
bipartite,author:UC3MYTqpQqlWBuCB7Th0e0PA,author,1,1.0,True,False,False
bipartite,author:UC3NMzdMYryaw82kPTnsaljg,author,1,1.0,True,False,False
bipartite,author:UC3UVO7pTbeYvZ3ILEyRDskQ,author,1,1.0,True,False,False
bipartite,author:UC3XTwHxygNCgjndsg-UiCQA,author,1,1.0,True,False,False
bipartite,author:UC3YpzAr7pcdKC7BVFEpYzog,author,1,1.0,True,False,False
bipartite,author:UC3iIU62XKUOWuqL8BqBzj9A,author,1,1.0,True,False,False
bipartite,author:UC3qn1yJA5PeW9rkGPatQxiw,author,1,1.0,True,False,False
bipartite,author:UC4Avya4kmR4Q0FrfFdBozSQ,author,1,1.0,True,False,False
bipartite,author:UC4cXueR2bKGFJV0Fk76gwmA,author,1,1.0,True,False,False
bipartite,author:UC4kg7zuTfqQKLd2bkZrSYBA,author,1,1.0,True,False,False
bipartite,author:UC4wq3DcbfaG6dtCqn8Oyu3w,author,1,1.0,True,False,False
bipartite,author:UC5H8ASmMC9WrURmzeB4ySog,author,1,1.0,True,False,False
bipartite,author:UC5PrBbmUlQolwqmiru7yZhw,author,1,1.0,True,False,False
bipartite,author:UC5PyGvSfFM--OVKmQ3COu6g,author,1,1.0,True,False,True
bipartite,author:UC5bG9nc_JV3FsNP2KseQiYw,author,1,1.0,True,False,False
bipartite,author:UC5fvhAfm89JH8eDFdvc0xYw,author,1,1.0,True,False,True
bipartite,author:UC5hvEnRUzI4Kfvwnyi4QxqQ,author,1,1.0,True,False,False
bipartite,author:UC5wuDq3U3vRAhOQI3D7gNdw,author,1,1.0,True,False,False
bipartite,author:UC63tFvbQ_hJhGDi2nbjssjw,author,1,1.0,True,False,False
bipartite,author:UC650pRT-OYzny3GwOH8Cgfw,author,1,1.0,True,False,False
bipartite,author:UC6PvO1_k5lHKGdAPo5_C6TA,author,1,1.0,True,False,False
bipartite,author:UC6Uj1FT5JjDSF8vudvDxPAA,author,1,1.0,True,False,False
bipartite,author:UC6YSZqL0vEcI-niPKIMUGfw,author,1,1.0,True,False,False
bipartite,author:UC6xI_MOaxajIWpoP8BH6E_Q,author,1,1.0,True,False,True
bipartite,author:UC72gBAtyb_VXQlYDcFrh6oQ,author,1,1.0,True,False,False
bipartite,author:UC7IMsCxfZyWN7YQo8-JYa6Q,author,1,1.0,True,False,False
bipartite,author:UC7VUuJr9cGh845CmTvf7TlQ,author,1,1.0,True,False,False
bipartite,author:UC7dadZG7kkGYnsNu6td0FbA,author,1,1.0,True,False,False
bipartite,author:UC816IGbFCZinfYS1LRDaaHg,author,1,1.0,True,False,False
bipartite,author:UC8F2V63KZ4ZEay6opX2hAQw,author,1,1.0,True,False,False
bipartite,author:UC8G5cJONY8L9voMyBW8Eoug,author,1,1.0,True,False,False
bipartite,author:UC8r11yOugM2NuRfitQOxLLg,author,1,1.0,True,False,False
bipartite,author:UC8xlJWNHz1V_W6q3fbuQH8g,author,1,1.0,True,False,False
bipartite,author:UC95PSMouTx2N5CbSq0hIyrQ,author,1,1.0,True,False,False
bipartite,author:UC9Wp6vL5oCU37qC3Aj94WZA,author,1,1.0,True,False,False
bipartite,author:UC9vMq1YF-e7C-VO0SHkbUTA,author,1,1.0,True,False,False
bipartite,author:UC9xr9QvIcDvoZNUX5f-jaZw,author,1,1.0,True,False,False
bipartite,author:UCA93ym2TXs_Ibyxb4Vcn-6Q,author,1,1.0,True,False,False
bipartite,author:UCAKuKvcbfnBD3kF5njNu-IA,author,1,1.0,True,False,False
bipartite,author:UCAV7QIjYhbDJaycQycM_0eQ,author,1,1.0,True,False,False
bipartite,author:UCAlzM_N6xBlMYmM8EBzX86Q,author,1,1.0,True,False,False
bipartite,author:UCAmtbUiIrUIhikru0ZoTFig,author,1,1.0,True,False,False
bipartite,author:UCAxvOOHQk7dYPOajzFEVtbA,author,1,1.0,True,False,False
bipartite,author:UCB5p8a5gklc80jJItP6xTHg,author,1,1.0,True,False,False
bipartite,author:UCBlm80VQ4YoV3bUJR_XhkaQ,author,1,1.0,True,False,True
bipartite,author:UCBtB5dIyx-C16UN8ClUD2UA,author,1,1.0,True,False,False
bipartite,author:UCCBYcToQ2dwkd6TJh0FSyDg,author,1,1.0,True,False,False
bipartite,author:UCCUmP4PlbwgikVFpYwbtRTg,author,1,1.0,True,False,False
bipartite,author:UCCaYwkkbQGcvFoUmothVdQQ,author,1,1.0,True,False,False
bipartite,author:UCDIMztpVm7G27qBuiWuT6oQ,author,1,1.0,True,False,False
bipartite,author:UCDPWkUX3sNNaCx-m1dV4glA,author,1,1.0,True,False,False
bipartite,author:UCDQaQv0hr2SS_PO-CMEwVHg,author,1,1.0,True,False,False
bipartite,author:UCDUffaruH6dyUnUGwsTKpgg,author,1,1.0,True,False,False
