dataset,variable,dtype,n_total,n_missing,pct_missing,n_unique,is_constant,n_duplicated_values,notes
videos,video_id,object,293,0,0.0,293,False,0,
videos,title,object,293,0,0.0,274,False,19,
videos,channel_name,object,293,0,0.0,97,False,196,
videos,channel_id,object,293,0,0.0,97,False,196,
videos,source_query,object,293,0,0.0,21,False,272,
videos,source_group,object,293,0,0.0,3,False,290,
videos,dataset_sources,object,293,0,0.0,23,False,270,
videos,channel_handle,object,293,0,0.0,97,False,196,
videos,published_time,object,293,13,4.44,80,False,200,
videos,view_count_text,object,293,13,4.44,259,False,21,
videos,description_snippet,object,293,25,8.53,236,False,32,
videos,video_url,object,293,0,0.0,293,False,0,
videos,query_hits,object,293,0,0.0,26,False,267,
videos,keywords,object,293,0,0.0,106,False,187,
videos,description,object,293,26,8.87,234,False,33,contiene caracter de reemplazo unicode en 1 filas (mojibake de origen)
videos,view_count,int64,293,0,0.0,267,False,26,
videos,publish_date,object,293,0,0.0,293,False,0,
videos,upload_date,object,293,0,0.0,293,False,0,
videos,category,object,293,0,0.0,11,False,282,
videos,owner_handle,object,293,0,0.0,97,False,196,
comments,video_id,object,406,0,0.0,19,False,387,
comments,comment_id,object,406,0,0.0,406,False,0,
comments,video_title,object,406,0,0.0,19,False,387,
comments,channel_name,object,406,0,0.0,8,False,398,
comments,channel_id,object,406,0,0.0,8,False,398,
comments,author_name,object,406,0,0.0,332,False,74,
comments,author_channel_id,object,406,0,0.0,332,False,74,
comments,text,object,406,0,0.0,404,False,2,
comments,source_query,object,406,0,0.0,6,False,400,
comments,source_group,object,406,0,0.0,2,False,404,
comments,dataset_sources,object,406,0,0.0,8,False,398,
comments,author_handle,object,406,0,0.0,332,False,74,
comments,published_text,object,406,0,0.0,39,False,367,
comments,like_count_text,object,406,0,0.0,31,False,375,contiene 189 strings vacios/solo espacio (no NaN tecnico)
comments,reply_count,int64,406,0,0.0,6,False,400,
comments,is_pinned,bool,406,0,0.0,1,True,405,
comments,viewer_rating,float64,406,406,100.0,0,True,0,
