rank,item,video_count
1,Municipalidad de Guatemala,20
2,Gobierno de Guatemala,19
3,@GobiernodelaRepublicadeGuatema,18
4,@MunicipalidaddeGuatemala-1551,18
5,@GobiernodeGuatemala,17
6,guatemala noticias,16
7,Gobierno de la República de Guatemala,16
8,Ministerio de Comunicaciones Guatemala,16
9,Conred Guatemala,15
10,PMT Guatemala,15
11,guatemala trafico,13
12,guatemala transporte,13
13,Policia Nacional Civil Guatemala,13
14,Provial Guatemala,13
15,Ministerio de Gobernacion Guatemala,12
16,guatemala lluvias,12
17,@quorumgt,12
18,guatemala seguridad,12
19,guatemala politica,12
20,@quorumgt/videos,11
