group_type,group_key,n_comments,pct_POS,pct_NEU,pct_NEG,small_sample
video,06mFNPU0aB8 - Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,14,21.43,50.0,28.57,False
video,"3Nfp9h5avBI - Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,0.0,50.0,50.0,True
video,6W4u8sGEnGM - Inician los trabajos de recuperación del Puente Belice II.,45,28.89,31.11,40.0,False
video,JkpVO1hx2f8 - 10 Preguntas a un año del Paro Nacional,3,66.67,0.0,33.33,True
video,OkXlHx0hx-8 - EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,25,8.0,28.0,64.0,False
video,PjmxCj-a9Hg - Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,25,16.0,16.0,68.0,False
video,"TT4qJ5FXHYE - I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,75.0,0.0,25.0,True
video,UhL9y3KUl8E - SHAI WA: la vecina queer de Casa Presidencial,1,100.0,0.0,0.0,True
video,WIUZtitfLRw - Caminar en una ciudad hecha para carros,6,0.0,33.33,66.67,False
video,X_FAIef8qlE - Cruzando la ciudad a puro Transmetro,1,0.0,0.0,100.0,True
video,b_Hkrkl3adA - Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,0.0,14.29,85.71,False
video,is3Mk5oC19g - Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,0.0,14.29,85.71,False
video,j43HgwYFKfk - La cooptación de Walter Mazariegos en la USAC,50,20.0,22.0,58.0,False
video,lj983NWyAQY - Plan 2032 Ciudad de Guatemala,25,80.0,12.0,8.0,False
video,n8iP75gIpmw - Qué rico come tu diputado,161,5.59,13.66,80.75,False
video,ndAZjHqzzT8 - Internet: escoger el menos malo,12,33.33,33.33,33.33,False
video,s0eco-BofOs - ¿Quiénes pagan más en Centroamérica?,1,100.0,0.0,0.0,True
video,yLZS3JiEBg8 - Arroz con pollo a la MONOPOLIO,16,31.25,12.5,56.25,False
video,zweosulrwA8 - Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,1,100.0,0.0,0.0,True
channel,Gobierno de la República de Guatemala,70,24.29,25.71,50.0,False
channel,Municipalidad de Guatemala,25,80.0,12.0,8.0,False
channel,Noti7,14,21.43,50.0,28.57,False
channel,Noticias Telemundo,25,8.0,28.0,64.0,False
channel,Noticiero Guatevisión 13 Hrs.,2,0.0,50.0,50.0,True
channel,PrensaLibreOficial,7,0.0,14.29,85.71,False
channel,Quorum,256,14.06,16.02,69.92,False
channel,TN23 Guatemala,7,0.0,14.29,85.71,False
category,Entertainment,70,24.29,25.71,50.0,False
category,News & Politics,335,17.91,18.21,63.88,False
category,Nonprofits & Activism,1,100.0,0.0,0.0,True
community,comunidad 1,225,8.44,15.56,76.0,False
community,comunidad 2,84,23.81,29.76,46.43,False
community,comunidad 3,34,26.47,23.53,50.0,False
community,comunidad 4,2,0.0,50.0,50.0,True
community,comunidad 5,3,66.67,0.0,33.33,True
community,comunidad 6,25,8.0,28.0,64.0,False
community,comunidad 7,4,75.0,0.0,25.0,True
community,comunidad 8,1,100.0,0.0,0.0,True
community,comunidad 9,1,0.0,0.0,100.0,True
community,comunidad 10,25,80.0,12.0,8.0,False
community,comunidad 11,1,100.0,0.0,0.0,True
community,comunidad 12,1,100.0,0.0,0.0,True
