dataset,variable,problema_detectado,tratamiento,justificacion
comments,viewer_rating,vacia en el 100% de los registros,no_usar,"no aporta informacion, todo NaN"
comments,is_pinned,constante False en los 406 registros,excluir_de_analisis_explicativo,"sin variabilidad, documentar y excluir"
videos,published_time,"tiempo relativo, depende del momento de recoleccion",usar_con_precaucion,"no es fecha exacta, solo aproximada/ordinal"
comments,published_text,"tiempo relativo, depende del momento de recoleccion",usar_con_precaucion,"no es fecha exacta, solo aproximada/ordinal"
videos,source_query,"describe el proceso de busqueda, no el tema",usar_con_precaucion,"es metadato de muestreo, no tema definitivo del video"
comments,source_query,"describe el proceso de busqueda, no el tema",usar_con_precaucion,"es metadato de muestreo, no tema definitivo"
videos,channel_name,puede cambiar o repetirse,usar_con_precaucion,"etiqueta visible, nunca sustituye a channel_id"
videos,channel_handle,puede cambiar,usar_con_precaucion,"etiqueta visible, nunca sustituye a channel_id"
videos,owner_handle,coincide 100% con channel_handle,usar_con_precaucion,"etiqueta visible redundante, nunca sustituye a channel_id"
comments,author_name,puede cambiar o repetirse,usar_con_precaucion,"etiqueta visible, nunca sustituye a author_channel_id"
comments,author_handle,puede cambiar,usar_con_precaucion,"etiqueta visible, nunca sustituye a author_channel_id"
comments,reply_count,cuenta respuestas pero no identifica autores,nunca_usar_para_aristas,"solo indica cuantas respuestas recibio un comentario, no identifica autores, nunca se usa para crear aristas entre usuarios, inferir conversaciones directas, amistad ni aprobacion"
videos,dataset_sources,lista de archivos origen separados por |,usar_con_precaucion,"describe procedencia de integracion, no es variable analitica directa"
comments,dataset_sources,lista de archivos origen separados por |,usar_con_precaucion,"describe procedencia de integracion, no es variable analitica directa"
videos,query_hits,texto con estructura de lista,requiere_parseo,"debe convertirse a lista antes de analizar, un video puede tener mas de un hit"
videos,keywords,"texto con estructura de lista, puede venir vacia []",requiere_parseo,convertir a lista antes de analizar
comments,like_count_text,contiene strings de solo espacio en blanco,parsear_para_auditoria,"el blanco se convierte a NaN, nunca a cero, porque el dataset no documenta que un espacio signifique ausencia de likes"
videos,view_count_text,texto con separador de miles y palabra 'vistas',parsear_para_auditoria,"view_count es la fuente numerica primaria; discrepancias entre ambos se auditan, no se promedian ni se fuerzan"
videos,published_time,caracteres de reemplazo unicode detectados,usar_con_precaucion,"el texto perdio informacion de codificacion antes de llegar al csv, no se puede reconstruir con certeza, se documenta y no se adivina"
videos,query_hits,caracteres de reemplazo unicode detectados,usar_con_precaucion,"mojibake de origen, no se reconstruye, solo se documenta"
videos,keywords,caracteres de reemplazo unicode detectados,usar_con_precaucion,"mojibake de origen, no se reconstruye, solo se documenta"
