video_id,comment_count,unique_authors,replies,comment_likes,title,channel_id,channel_name,category,view_count,query_hits
06mFNPU0aB8,14,13,1,12.0,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,6692,"[""guatemala noticias""]"
3Nfp9h5avBI,2,2,0,0.0,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,573,"[""guatemala noticias""]"
6W4u8sGEnGM,45,32,11,90.0,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,11670,"[""Gobierno de la República de Guatemala""]"
JkpVO1hx2f8,3,3,0,4.0,10 Preguntas a un año del Paro Nacional,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,673,"[""@quorumgt/videos""]"
OkXlHx0hx-8,25,18,13,25.0,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,14200,"[""guatemala noticias""]"
PjmxCj-a9Hg,25,19,4,20.0,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,3628,"[""@GobiernodeGuatemala""]"
TT4qJ5FXHYE,4,4,0,8.0,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1075,"[""@quorumgt/videos""]"
UhL9y3KUl8E,1,1,0,2.0,SHAI WA: la vecina queer de Casa Presidencial,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1755,"[""@quorumgt/videos""]"
WIUZtitfLRw,6,6,0,1.0,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,422,"[""@quorumgt/videos""]"
X_FAIef8qlE,1,1,0,0.0,Cruzando la ciudad a puro Transmetro,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1140,"[""@quorumgt/videos""]"
b_Hkrkl3adA,7,7,1,1.0,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,5469,"[""guatemala noticias""]"
is3Mk5oC19g,7,7,1,0.0,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,4616,"[""guatemala noticias""]"
j43HgwYFKfk,50,49,0,91.0,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,10156,"[""@quorumgt""]"
lj983NWyAQY,25,25,16,1697.0,Plan 2032 Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,304089,"[""Municipalidad de Guatemala""]"
n8iP75gIpmw,161,128,3,358.0,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,11775,"[""Quorum GT""]"
ndAZjHqzzT8,12,10,1,3.0,Internet: escoger el menos malo,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,717,"[""@quorumgt/videos""]"
s0eco-BofOs,1,1,0,0.0,¿Quiénes pagan más en Centroamérica?,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,220,"[""Quorum GT""]"
yLZS3JiEBg8,16,16,0,13.0,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1954,"[""@quorumgt/videos""]"
zweosulrwA8,1,1,0,0.0,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,52,"[""@quorumgt""]"
