node_id_1,node_id_2,video_id_1,video_id_2,weight
video:06mFNPU0aB8,video:6W4u8sGEnGM,06mFNPU0aB8,6W4u8sGEnGM,1
video:6W4u8sGEnGM,video:PjmxCj-a9Hg,6W4u8sGEnGM,PjmxCj-a9Hg,1
video:PjmxCj-a9Hg,video:n8iP75gIpmw,PjmxCj-a9Hg,n8iP75gIpmw,1
video:WIUZtitfLRw,video:ndAZjHqzzT8,WIUZtitfLRw,ndAZjHqzzT8,1
video:WIUZtitfLRw,video:yLZS3JiEBg8,WIUZtitfLRw,yLZS3JiEBg8,1
video:b_Hkrkl3adA,video:n8iP75gIpmw,b_Hkrkl3adA,n8iP75gIpmw,1
video:is3Mk5oC19g,video:j43HgwYFKfk,is3Mk5oC19g,j43HgwYFKfk,1
video:j43HgwYFKfk,video:n8iP75gIpmw,j43HgwYFKfk,n8iP75gIpmw,2
video:j43HgwYFKfk,video:ndAZjHqzzT8,j43HgwYFKfk,ndAZjHqzzT8,1
video:n8iP75gIpmw,video:ndAZjHqzzT8,n8iP75gIpmw,ndAZjHqzzT8,1
video:ndAZjHqzzT8,video:yLZS3JiEBg8,ndAZjHqzzT8,yLZS3JiEBg8,2
